REF_DATE	GEO	National Occupational Classification (NOC)	VALUE
2006	Newfoundland and Labrador	Total employed, all occupations	214.3
2006	Newfoundland and Labrador	Management occupations [0]	16.9
2006	Newfoundland and Labrador	Senior management occupations [00]	0.8
2006	Newfoundland and Labrador	Specialized middle management occupations [01-05]	5.3
2006	Newfoundland and Labrador	Middle management occupations in retail and wholesale trade and customer services [06]	8.3
2006	Newfoundland and Labrador	Middle management occupations in trades, transportation, production and utilities [07-09]	2.6
2006	Newfoundland and Labrador	Business, finance and administration occupations [1]	28.6
2006	Newfoundland and Labrador	Professional occupations in business and finance [11]	5.2
2006	Newfoundland and Labrador	Administrative and financial supervisors and administrative occupations [12]	9.4
2006	Newfoundland and Labrador	Finance, insurance and related business administrative occupations [13]	1.5
2006	Newfoundland and Labrador	Office support occupations [14]	8.7
2006	Newfoundland and Labrador	Distribution, tracking and scheduling co-ordination occupations [15]	3.9
2006	Newfoundland and Labrador	Natural and applied sciences and related occupations [2]	13
2006	Newfoundland and Labrador	Professional occupations in natural and applied sciences [21]	5
2006	Newfoundland and Labrador	Technical occupations related to natural and applied sciences [22]	8
2006	Newfoundland and Labrador	Health occupations [3]	16.4
2006	Newfoundland and Labrador	Professional occupations in nursing [30]	4.9
2006	Newfoundland and Labrador	Professional occupations in health (except nursing) [31]	3.7
2006	Newfoundland and Labrador	Technical occupations in health [32]	4.9
2006	Newfoundland and Labrador	Assisting occupations in support of health services [34]	2.8
2006	Newfoundland and Labrador	Occupations in education, law and social, community and government services [4]	25.3
2006	Newfoundland and Labrador	Professional occupations in education services [40]	9.3
2006	Newfoundland and Labrador	Professional occupations in law and social, community and government services [41]	4.8
2006	Newfoundland and Labrador	Paraprofessional occupations in legal, social, community and education services [42]	2.9
2006	Newfoundland and Labrador	Occupations in front-line public protection services [43]	1.6
2006	Newfoundland and Labrador	Care providers and educational, legal and public protection support occupations [44]	6.7
2006	Newfoundland and Labrador	Occupations in art, culture, recreation and sport [5]	4.3
2006	Newfoundland and Labrador	Professional occupations in art and culture [51]	1.9
2006	Newfoundland and Labrador	Technical occupations in art, culture, recreation and sport [52]	2.5
2006	Newfoundland and Labrador	Sales and service occupations [6]	54
2006	Newfoundland and Labrador	Retail sales supervisors and specialized sales occupations [62]	5.3
2006	Newfoundland and Labrador	Service supervisors and specialized service occupations [63]	8.7
2006	Newfoundland and Labrador	Sales representatives and salespersons - wholesale and retail trade [64]	10
2006	Newfoundland and Labrador	Service representatives and other customer and personal services occupations [65]	9.6
2006	Newfoundland and Labrador	Sales support occupations [66]	11.2
2006	Newfoundland and Labrador	Service support and other service occupations, n.e.c. [67]	9.2
2006	Newfoundland and Labrador	Trades, transport and equipment operators and related occupations [7]	31.9
2006	Newfoundland and Labrador	Industrial, electrical and construction trades [72]	9.8
2006	Newfoundland and Labrador	Maintenance and equipment operation trades [73]	6.6
2006	Newfoundland and Labrador	Other installers, repairers and servicers and material handlers [74]	2.7
2006	Newfoundland and Labrador	Transport and heavy equipment operation and related maintenance occupations [75]	9.5
2006	Newfoundland and Labrador	Trades helpers, construction labourers and related occupations [76]	3.3
2006	Newfoundland and Labrador	Natural resources, agriculture and related production occupations [8]	13.8
2006	Newfoundland and Labrador	Supervisors and technical occupations in natural resources, agriculture and related production [82]	9.3
2006	Newfoundland and Labrador	Workers in natural resources, agriculture and related production [84]	2.4
2006	Newfoundland and Labrador	Harvesting, landscaping and natural resources labourers [86]	2.1
